#Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)
706	921.120	7.912	920.953
707	921.150	7.948	920.984
708	921.180	7.999	921.009
709	921.210	7.764	921.039
710	921.240	7.330	921.070
711	921.270	6.884	921.105
712	921.300	6.312	921.130
713	921.330	5.599	921.160
714	921.360	4.758	921.188
715	921.390	3.920	921.220
716	921.420	3.108	921.253
717	921.450	2.243	921.280
718	921.480	1.172	921.312
719	921.510	0.110	921.344
720	921.540	-0.792	921.375
721	921.570	-1.475	921.399
722	921.600	-2.195	921.433
723	921.630	-3.007	921.463
724	921.660	-3.764	921.488
725	921.690	-4.387	921.524
726	921.720	-5.096	921.555
727	921.750	-5.877	921.582
728	921.780	-6.627	921.610
729	921.810	-6.999	921.637
730	921.840	-7.217	921.677
731	921.870	-7.478	921.703
732	921.900	-7.850	921.730
733	921.930	-8.283	921.760
734	921.960	-8.607	921.790
735	921.990	-9.050	921.817
736	922.020	-9.246	921.851
737	922.050	-9.001	921.882
738	922.080	-8.559	921.911
739	922.110	-8.278	921.941
740	922.140	-8.328	921.969
741	922.170	-8.444	921.997
742	922.200	-8.576	922.033
743	922.230	-8.702	922.065
744	922.260	-8.574	922.090
745	922.290	-8.268	922.124
746	922.320	-7.702	922.152
747	922.350	-7.214	922.182
748	922.380	-6.964	922.211
749	922.410	-7.007	922.243
750	922.440	-6.921	922.270
751	922.470	-6.803	922.298
752	922.500	-6.540	922.333
753	922.530	-5.987	922.363
754	922.560	-5.270	922.393
755	922.590	-4.368	922.422
756	922.620	-3.758	922.452
757	922.650	-3.440	922.484
758	922.680	-3.290	922.513
759	922.710	-2.970	922.543
760	922.740	-2.486	922.574
761	922.770	-1.728	922.601
762	922.800	-0.771	922.629
763	922.830	0.349	922.662
764	922.860	1.194	922.692
765	922.890	1.569	922.721
766	922.920	1.867	922.750
767	922.950	2.279	922.780
768	922.980	2.961	922.811
769	923.010	3.817	922.843
770	923.040	4.653	922.873
771	923.070	5.557	922.902
772	923.100	6.397	922.931
773	923.130	6.895	922.960
774	923.160	7.082	922.991
775	923.190	7.104	923.022
776	923.220	7.143	923.052
777	923.250	7.258	923.080
778	923.280	7.479	923.112
779	923.310	7.897	923.140
780	923.340	8.195	923.175
781	923.370	8.340	923.201
782	923.400	8.021	923.230
783	923.430	7.590	923.262
784	923.460	7.186	923.288
785	923.490	7.039	923.321
786	923.520	7.008	923.351
787	923.550	7.102	923.382
788	923.580	7.332	923.409
789	923.610	7.286	923.439
790	923.640	6.952	923.470
791	923.670	6.328	923.502
792	923.700	5.883	923.529
793	923.730	5.646	923.562
794	923.760	5.517	923.594
795	923.790	5.555	923.621
796	923.820	5.638	923.646
797	923.850	5.681	923.683
798	923.880	5.452	923.712
799	923.910	4.779	923.741
800	923.940	4.037	923.771
801	923.970	3.553	923.805
802	924.000	3.301	923.831
803	924.030	3.160	923.862
804	924.060	3.166	923.892
805	924.090	3.110	923.926
806	924.120	2.667	923.954
807	924.150	1.803	923.981
808	924.180	0.739	924.014
809	924.210	0.003	924.042
810	924.240	-0.298	924.071
811	924.270	-0.454	924.103
812	924.300	-0.675	924.129
813	924.330	-1.194	924.165
814	924.360	-1.902	924.189
815	924.390	-3.004	924.218
816	924.420	-4.384	924.251
817	924.450	-5.442	924.284
818	924.480	-5.912	924.314
819	924.510	-6.033	924.345
820	924.540	-6.058	924.368
821	924.570	-6.378	924.403
822	924.600	-7.009	924.429
823	924.630	-7.851	924.459
824	924.660	-8.591	924.495
825	924.690	-8.940	924.519
826	924.720	-8.769	924.549
827	924.750	-8.218	924.577
828	924.780	-7.838	924.612
829	924.810	-7.937	924.642
830	924.840	-8.349	924.669
831	924.870	-8.597	924.700
832	924.900	-8.683	924.733
833	924.930	-8.656	924.758
834	924.960	-8.363	924.791
835	924.990	-7.713	924.822
