#Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)
790	923.640	-5.129	923.469
791	923.670	-4.486	923.503
792	923.700	-3.830	923.532
793	923.730	-3.119	923.559
794	923.760	-2.552	923.591
795	923.790	-1.926	923.621
796	923.820	-1.197	923.647
797	923.850	-0.544	923.681
798	923.880	0.120	923.711
799	923.910	0.640	923.738
800	923.940	1.137	923.772
801	923.970	1.440	923.802
802	924.000	1.750	923.831
803	924.030	2.038	923.861
804	924.060	2.340	923.891
805	924.090	2.716	923.924
806	924.120	3.009	923.952
807	924.150	3.391	923.979
808	924.180	3.855	924.011
809	924.210	4.337	924.042
810	924.240	4.785	924.070
811	924.270	5.179	924.099
812	924.300	5.646	924.133
813	924.330	6.197	924.163
814	924.360	6.652	924.191
815	924.390	6.926	924.222
816	924.420	7.027	924.251
817	924.450	7.093	924.282
818	924.480	7.313	924.309
819	924.510	7.353	924.340
820	924.540	7.282	924.370
821	924.570	7.172	924.398
822	924.600	7.027	924.429
823	924.630	6.901	924.461
824	924.660	6.806	924.491
825	924.690	6.863	924.524
826	924.720	6.842	924.552
827	924.750	6.873	924.584
828	924.780	6.839	924.611
829	924.810	6.795	924.642
830	924.840	6.549	924.671
831	924.870	6.157	924.705
832	924.900	5.717	924.730
833	924.930	5.021	924.758
834	924.960	4.333	924.793
835	924.990	3.698	924.820
836	925.020	3.011	924.852
837	925.050	2.286	924.883
838	925.080	1.531	924.909
839	925.110	1.000	924.941
840	925.140	0.589	924.973
841	925.170	0.189	925.003
842	925.200	-0.124	925.031
843	925.230	-0.531	925.062
844	925.260	-0.941	925.092
845	925.290	-1.479	925.119
846	925.320	-1.987	925.152
847	925.350	-2.741	925.181
848	925.380	-3.558	925.209
849	925.410	-4.333	925.241
850	925.440	-4.955	925.272
851	925.470	-5.549	925.305
852	925.500	-5.962	925.332
853	925.530	-6.229	925.359
854	925.560	-6.469	925.391
855	925.590	-6.660	925.423
856	925.620	-6.872	925.450
857	925.650	-6.910	925.480
858	925.680	-6.862	925.514
859	925.710	-6.741	925.540
860	925.740	-6.617	925.573
861	925.770	-6.608	925.602
862	925.800	-6.635	925.634
863	925.830	-6.721	925.663
864	925.860	-6.855	925.692
865	925.890	-6.787	925.722
866	925.920	-6.582	925.751
867	925.950	-6.265	925.782
868	925.980	-5.829	925.810
869	926.010	-5.341	925.840
870	926.040	-4.936	925.867
871	926.070	-4.551	925.900
872	926.100	-4.259	925.932
873	926.130	-3.895	925.962
874	926.160	-3.545	925.991
875	926.190	-3.115	926.019
876	926.220	-2.840	926.052
877	926.250	-2.642	926.083
878	926.280	-2.575	926.111
879	926.310	-2.498	926.143
880	926.340	-2.296	926.169
881	926.370	-2.093	926.201
882	926.400	-1.870	926.228
883	926.430	-1.567	926.262
884	926.460	-1.230	926.290
885	926.490	-0.920	926.321
886	926.520	-0.644	926.351
887	926.550	-0.417	926.380
888	926.580	0.033	926.412
889	926.610	0.584	926.442
890	926.640	1.280	926.471
891	926.670	1.955	926.504
892	926.700	2.475	926.529
893	926.730	2.863	926.558
894	926.760	3.156	926.587
895	926.790	3.467	926.618
896	926.820	3.724	926.655
897	926.850	4.079	926.681
898	926.880	4.452	926.714
899	926.910	4.728	926.743
900	926.940	4.915	926.772
901	926.970	5.157	926.801
902	927.000	5.221	926.830
903	927.030	5.325	926.862
904	927.060	5.550	926.891
905	927.090	5.777	926.922
906	927.120	6.065	926.953
907	927.150	6.327	926.981
908	927.180	6.596	927.015
909	927.210	6.744	927.041
910	927.240	6.835	927.074
911	927.270	6.791	927.101
912	927.300	6.757	927.127
913	927.330	6.728	927.161
914	927.360	6.907	927.191
915	927.390	6.951	927.217
916	927.420	7.004	927.250
917	927.450	6.849	927.279
918	927.480	6.603	927.313
919	927.510	6.260	927.343
920	927.540	5.999	927.370
921	927.570	5.809	927.400
922	927.600	5.693	927.431
923	927.630	5.536	927.462
924	927.660	5.239	927.493
925	927.690	4.671	927.520
926	927.720	3.823	927.549
927	927.750	2.748	927.582
928	927.780	1.774	927.611
929	927.810	0.813	927.641
930	927.840	-0.014	927.670
931	927.870	-0.814	927.700
932	927.900	-1.696	927.734
933	927.930	-2.533	927.761
934	927.960	-3.092	927.791
935	927.990	-3.630	927.819
936	928.020	-4.038	927.853
937	928.050	-4.199	927.882
938	928.080	-4.481	927.911
939	928.110	-4.685	927.940
940	928.140	-4.950	927.972
941	928.170	-5.470	928.001
942	928.200	-6.125	928.030
943	928.230	-6.869	928.059
944	928.260	-7.583	928.090
945	928.290	-8.090	928.121
946	928.320	-8.296	928.149
947	928.350	-8.438	928.180
